input_name,output_name
R. Seelaus & Co. LLC,R. Seelaus & Co. LLC
RA Capital Healthcare Fund L.P.,RA Capital Healthcare Fund L.P.
RB International Markets (USA) LLC,RB International Markets (USA) LLC
RBC Capital Markets LLC,RBC Capital Markets LLC
RBC Capital Markets LLC,RBC Capital Markets LLC
RBC Capital MarketsLLC,RBC Capital Markets LLC
RBC Dominion Securities Inc.,RBC Dominion Securities Inc.
RBS Securities Inc.,RBS Securities Inc.
RBS SecuritiesInc.,RBS Securities Inc.
RS Platou Markets AS,RS Platou Markets AS
RSUs of Pluralsight Inc.,RSUs of Pluralsight Inc.
Rabo Securities USA Inc.,Rabo Securities USA Inc.
Raine Securities LLC,Raine Securities LLC
Raymond James & Associates Inc.,Raymond James & Associates Inc.
Raymond James & Associates Inc.,Raymond James & Associates Inc.
Raymond James & Associates,Raymond James & Associates Inc.
Raymond James & Associates Inc,Raymond James & Associates Inc.
Raymond James & Associates Inc.,Raymond James & Associates Inc.
Raymond James & Associates Inc..,Raymond James & Associates Inc.
Raymond James & Associates LLC,Raymond James & Associates Inc.
Raymond James & AssociatesInc.,Raymond James & Associates Inc.
RaymondJames & Associates Inc.,Raymond James & Associates Inc.
Realty Capital Securities LLC,Realty Capital Securities LLC
Regions Securities LLC,Regions Securities LLC
Regions SecuritiesLLC,Regions Securities LLC
Remaining shares available under the 2015 Equity Incentive Plan,Remaining shares available under the 2015 Equity Incentive Plan
Remaining shares reserved for issuance under 2004 equity Incentive Plan,Remaining shares reserved for issuance under 2004 equity Incentive Plan
Renaissance Securities (Cyprus) Limited(1).,Renaissance Securities (Cyprus) Limited(1).
Restricted share units of Pluralsight Holdings,Restricted share units of Pluralsight Holdings
Restricted shares subject to future vesting,Restricted shares subject to future vesting
Restricted stock units outstanding under 2019 Equity Incentive Plan,Restricted stock units outstanding under 2019 Equity Incentive Plan
Robert W Baird & Co. Incorporated,Robert W Baird & Co. Incorporated
Robert W. Baird & Co. Incorporated,Robert W Baird & Co. Incorporated
Robert W. Baird & Co. Incorporated*,Robert W Baird & Co. Incorporated
Robert W. Baird & Co. Incorporated.,Robert W Baird & Co. Incorporated
Robert W. Baird & Co.Incorporated,Robert W Baird & Co. Incorporated
RobertW. Baird & Co. Incorporated,Robert W Baird & Co. Incorporated
Roth Capital Partners LLC,Roth Capital Partners LLC
Roth Capital PartnersLLC,Roth Capital Partners LLC
Rothschild Inc.,Rothschild Inc.
SG Americas Securities LLC,SG Americas Securities LLC
SG Americas SecuritiesLLC,SG Americas Securities LLC
SMBC Nikko Capital Markets Limited,SMBC Nikko Securities America Inc.
SMBC Nikko Securities America Inc.,SMBC Nikko Securities America Inc.
SMBC Nikko Securities AmericaInc.,SMBC Nikko Securities America Inc.
SVB Leerink LLC,SVB Leerink LLC
Samuel A. Ramirez & Co. Inc.,Samuel A. Ramirez & Co. Inc.
Samuel A. Ramirez & Company Inc.,Samuel A. Ramirez & Co. Inc.
Samuel A. Ramirez & CompanyInc.,Samuel A. Ramirez & Co. Inc.
Sandler O'Neill & Partners L.P.,Sandler O'Neill & Partners L.P.
Sandler O'Neill & PartnersL.P.,Sandler O'Neill & Partners L.P.
Sandler O'Neill+ Partners L.P.,Sandler O'Neill & Partners L.P.
Sandler ONeill & Partners L.P.,Sandler O'Neill & Partners L.P.
Sanford C. Bernstein & Co. LLC,Sanford C. Bernstein & Co. LLC
Santander Investment Securities Inc.,Santander Investment Securities Inc.
Scotia Capital (USA) Inc.,Scotia Capital Inc.
Scotia Capital (USA)Inc.,Scotia Capital Inc.
Scotia Capital Inc.,Scotia Capital Inc.
